"","Y","M","D","Tmin"
"1",1920,1,1,0.799999982118607
"2",1920,1,2,0.369999991729856
"3",1920,1,3,1.3199999704957
"4",1920,1,4,-1.07999997586012
"5",1920,1,5,-1.6099999640137
"6",1920,1,6,NA
"7",1920,1,7,-5.98999986611307
"8",1920,1,8,-3.58999991975725
"9",1920,1,9,0.789999982342124
"10",1920,1,10,0.959999978542328
"11",1920,1,11,0.809999981895089
"12",1920,1,12,0.609999986365438
"13",1920,1,13,3.60999991931021
"14",1920,1,14,4.16999990679324
"15",1920,1,15,0.949999978765845
"16",1920,1,16,-2.65999994054437
"17",1920,1,17,-1.75999996066093
"18",1920,1,18,3.63999991863966
"19",1920,1,19,2.11999995261431
"20",1920,1,20,2.83999993652105
"21",1920,1,21,0.979999978095293
"22",1920,1,22,1.86999995820224
"23",1920,1,23,-2.24999994970858
"24",1920,1,24,-8.45999981090426
"25",1920,1,25,-10.1399997733533
"26",1920,1,26,-7.03999984264374
"27",1920,1,27,-7.88999982364476
"28",1920,1,28,-9.14999979548156
"29",1920,1,29,-11.1599997505546
"30",1920,1,30,-8.79999980330467
"31",1920,1,31,-4.88999989069998
"32",1920,2,1,-6.09999986365438
"33",1920,2,2,-2.01999995484948
"34",1920,2,3,-2.47999994456768
"35",1920,2,4,-1.3799999691546
"36",1920,2,5,-0.209999995306134
"37",1920,2,6,NA
"38",1920,2,7,-3.39999992400408
"39",1920,2,8,-4.60999989695847
"40",1920,2,9,-5.7999998703599
"41",1920,2,10,-2.39999994635582
"42",1920,2,11,2.22999995015562
"43",1920,2,12,1.25999997183681
"44",1920,2,13,1.13999997451901
"45",1920,2,14,-1.8399999588728
"46",1920,2,15,-0.709999984130263
"47",1920,2,16,-4.28999990411103
"48",1920,2,17,-5.25999988242984
"49",1920,2,18,-5.26999988220632
"50",1920,2,19,-4.28999990411103
"51",1920,2,20,-3.47999992221594
"52",1920,2,21,-3.1599999293685
"53",1920,2,22,-4.02999990992248
"54",1920,2,23,-3.36999992467463
"55",1920,2,24,-0.739999983459711
"56",1920,2,25,-0.559999987483025
"57",1920,2,26,-0.899999979883432
"58",1920,2,27,-0.479999989271164
"59",1920,2,28,0.0599999986588955
"60",1920,2,29,-0.409999990835786
"61",1920,3,1,0.88999998010695
"62",1920,3,2,0.0699999984353781
"63",1920,3,3,0.779999982565641
"64",1920,3,4,1.65999996289611
"65",1920,3,5,1.90999995730817
"66",1920,3,6,NA
"67",1920,3,7,3.16999992914498
"68",1920,3,8,4.21999990567565
"69",1920,3,9,-0.00999999977648258
"70",1920,3,10,-3.41999992355704
"71",1920,3,11,-1.91999995708466
"72",1920,3,12,-1.73999996110797
"73",1920,3,13,-0.599999986588955
"74",1920,3,14,-0.959999978542328
"75",1920,3,15,-2.27999994903803
"76",1920,3,16,-1.12999997474253
"77",1920,3,17,2.04999995417893
"78",1920,3,18,2.84999993629754
"79",1920,3,19,3.21999992802739
"80",1920,3,20,1.28999997116625
"81",1920,3,21,0.0299999993294477
"82",1920,3,22,3.20999992825091
"83",1920,3,23,0.789999982342124
"84",1920,3,24,0.0899999979883432
"85",1920,3,25,-1.18999997340143
"86",1920,3,26,-0.489999989047647
"87",1920,3,27,0.0499999988824129
"88",1920,3,28,2.18999995104969
"89",1920,3,29,1.88999995775521
"90",1920,3,30,-0.739999983459711
"91",1920,3,31,2.43999994546175
"92",1920,4,1,3.88999991305172
"93",1920,4,2,3.21999992802739
"94",1920,4,3,3.60999991931021
"95",1920,4,4,3.42999992333353
"96",1920,4,5,0.34999999217689
"97",1920,4,6,NA
"98",1920,4,7,1.11999997496605
"99",1920,4,8,1.59999996423721
"100",1920,4,9,3.53999992087483
"101",1920,4,10,5.87999986857176
"102",1920,4,11,6.1999998614192
"103",1920,4,12,9.48999978788197
"104",1920,4,13,6.08999986387789
"105",1920,4,14,7.50999983213842
"106",1920,4,15,7.20999983884394
"107",1920,4,16,6.70999985001981
"108",1920,4,17,7.12999984063208
"109",1920,4,18,5.24999988265336
"110",1920,4,19,7.93999982252717
"111",1920,4,20,6.50999985449016
"112",1920,4,21,5.0499998871237
"113",1920,4,22,5.2799998819828
"114",1920,4,23,5.83999986946583
"115",1920,4,24,5.48999987728894
"116",1920,4,25,3.82999991439283
"117",1920,4,26,5.82999986968935
"118",1920,4,27,4.66999989561737
"119",1920,4,28,4.63999989628792
"120",1920,4,29,5.28999988175929
"121",1920,4,30,3.66999991796911
"122",1920,5,1,2.11999995261431
"123",1920,5,2,2.88999993540347
"124",1920,5,3,7.64999982900918
"125",1920,5,4,7.32999983616173
"126",1920,5,5,5.05999988690019
"127",1920,5,6,NA
"128",1920,5,7,2.57999994233251
"129",1920,5,8,5.91999986767769
"130",1920,5,9,4.2499999050051
"131",1920,5,10,3.4999999217689
"132",1920,5,11,1.88999995775521
"133",1920,5,12,1.45999996736646
"134",1920,5,13,1.06999997608364
"135",1920,5,14,4.39999990165234
"136",1920,5,15,6.12999986298382
"137",1920,5,16,2.88999993540347
"138",1920,5,17,3.63999991863966
"139",1920,5,18,7.75999982655048
"140",1920,5,19,8.85999980196357
"141",1920,5,20,9.46999978832901
"142",1920,5,21,10.8299997579306
"143",1920,5,22,9.95999977737665
"144",1920,5,23,7.8099998254329
"145",1920,5,24,8.09999981895089
"146",1920,5,25,9.6999997831881
"147",1920,5,26,9.87999977916479
"148",1920,5,27,10.0599997751415
"149",1920,5,28,10.5099997650832
"150",1920,5,29,8.07999981939793
"151",1920,5,30,9.15999979525805
"152",1920,5,31,7.76999982632697
"153",1920,6,1,10.5799997635186
"154",1920,6,2,8.27999981492758
"155",1920,6,3,6.85999984666705
"156",1920,6,4,5.83999986946583
"157",1920,6,5,4.84999989159405
"158",1920,6,6,NA
"159",1920,6,7,4.00999991036952
"160",1920,6,8,4.67999989539385
"161",1920,6,9,4.20999990589917
"162",1920,6,10,3.57999991998076
"163",1920,6,11,5.7999998703599
"164",1920,6,12,4.05999990925193
"165",1920,6,13,5.80999987013638
"166",1920,6,14,6.12999986298382
"167",1920,6,15,6.03999986499548
"168",1920,6,16,6.90999984554946
